route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
13,2,2727,"SPRING VALLEY",1,"2125",1073
13,12,2728,"SPRING VALLEY",1,"9653",1074
13,13,2729,"SPRING VALLEY",1,"1639",1075
13,13,2730,"NEW BRIDGE LANDING",1,"1653",1076
13,4,2731,"SPRING VALLEY",1,"1605",1077
13,4,2732,"SPRING VALLEY",1,"1611",1078
13,4,2733,"SPRING VALLEY",1,"1607",1079
13,4,2734,"SPRING VALLEY",1,"1613",1080
13,4,2735,"SPRING VALLEY",1,"1621",1081
13,4,2736,"SPRING VALLEY",1,"1623",1082
13,4,2737,"SPRING VALLEY",1,"1625",1083
13,4,2738,"SPRING VALLEY",1,"1627",1084
13,4,2739,"SPRING VALLEY",1,"1631",1085
13,4,2740,"SPRING VALLEY",1,"1633",1086
13,4,2741,"SPRING VALLEY",1,"1635",1087
13,4,2742,"SPRING VALLEY",1,"1637",1088
13,4,2743,"SPRING VALLEY",1,"1641",1089
13,4,2744,"SPRING VALLEY",1,"1643",1090
13,4,2745,"SPRING VALLEY",1,"1645",1091
13,4,2746,"SPRING VALLEY",1,"1647",1092
13,4,2747,"NEW BRIDGE LANDING",1,"1651",1093
13,4,2748,"SPRING VALLEY",1,"1629",1094
14,4,2749,"PRINCETON JCT.",0,"4100",1095
14,4,2750,"PRINCETON JCT.",0,"4102",1096
14,4,2751,"PRINCETON JCT.",0,"4104",1097
14,6,2752,"PRINCETON JCT.",0,"4200",1098
14,6,2753,"PRINCETON JCT.",0,"4202",1099
14,2,2754,"PRINCETON JCT.",0,"4220",1100
14,2,2755,"PRINCETON JCT.",0,"4222",1101
14,2,2756,"PRINCETON JCT.",0,"4224",1102
14,2,2757,"PRINCETON JCT.",0,"4226",1103
14,2,2758,"PRINCETON JCT.",0,"4228",1104
14,2,2759,"PRINCETON JCT.",0,"4230",1105
14,2,2760,"PRINCETON JCT.",0,"4232",1106
14,2,2761,"PRINCETON JCT.",0,"4234",1107
14,2,2762,"PRINCETON JCT.",0,"4236",1108
14,2,2763,"PRINCETON JCT.",0,"4238",1109
14,2,2764,"PRINCETON JCT.",0,"4242",1110
14,2,2765,"PRINCETON JCT.",0,"4244",1111
14,2,2766,"PRINCETON JCT.",0,"4246",1112
14,2,2767,"PRINCETON JCT.",0,"4248",1113
14,2,2768,"PRINCETON JCT.",0,"4254",1114
14,2,2769,"PRINCETON JCT.",0,"4256",1115
14,2,2770,"PRINCETON JCT.",0,"4258",1116
14,2,2771,"PRINCETON JCT.",0,"4260",1117
14,2,2772,"PRINCETON JCT.",0,"4262",1118
14,2,2773,"PRINCETON JCT.",0,"4264",1119
14,2,2774,"PRINCETON JCT.",0,"4266",1120
14,2,2775,"PRINCETON JCT.",0,"4268",1121
14,2,2776,"PRINCETON JCT.",0,"4270",1122
14,2,2777,"PRINCETON JCT.",0,"4272",1123
14,2,2778,"PRINCETON JCT.",0,"4274",1124
14,2,2779,"PRINCETON JCT.",0,"4276",1125
14,2,2780,"PRINCETON JCT.",0,"4278",1126
14,4,2781,"PRINCETON JCT.",0,"4106",1127
14,4,2782,"PRINCETON JCT.",0,"4108",1128
14,4,2783,"PRINCETON JCT.",0,"4110",1129
14,4,2784,"PRINCETON JCT.",0,"4112",1130
14,4,2785,"PRINCETON JCT.",0,"4114",1131
14,4,2786,"PRINCETON JCT.",0,"4116",1132
14,4,2787,"PRINCETON JCT.",0,"4118",1133
14,4,2788,"PRINCETON JCT.",0,"4120",1134
14,4,2789,"PRINCETON JCT.",0,"4122",1135
14,4,2790,"PRINCETON JCT.",0,"4124",1136
14,4,2791,"PRINCETON JCT.",0,"4126",1137
14,4,2792,"PRINCETON JCT.",0,"4128",1138
14,4,2793,"PRINCETON JCT.",0,"4132",1139
14,4,2794,"PRINCETON JCT.",0,"4134",1140
14,4,2795,"PRINCETON JCT.",0,"4136",1141
14,4,2796,"PRINCETON JCT.",0,"4138",1142
14,4,2797,"PRINCETON JCT.",0,"4140",1143
14,4,2798,"PRINCETON JCT.",0,"4142",1144
14,4,2799,"PRINCETON JCT.",0,"4144",1145
14,4,2800,"PRINCETON JCT.",0,"4146",1146
14,4,2801,"PRINCETON JCT.",0,"4148",1147
14,4,2802,"PRINCETON JCT.",0,"4150",1148
14,4,2803,"PRINCETON JCT.",0,"4152",1149
14,4,2804,"PRINCETON JCT.",0,"4154",1150
14,4,2805,"PRINCETON JCT.",0,"4156",1151
14,4,2806,"PRINCETON JCT.",0,"4158",1152
14,4,2807,"PRINCETON JCT.",0,"4160",1153
14,4,2808,"PRINCETON JCT.",0,"4162",1154
14,4,2809,"PRINCETON JCT.",0,"4164",1155
14,4,2810,"PRINCETON JCT.",0,"4166",1156
14,4,2811,"PRINCETON JCT.",0,"4168",1157
14,4,2812,"PRINCETON JCT.",0,"4170",1158
14,4,2813,"PRINCETON JCT.",0,"4172",1159
14,4,2814,"PRINCETON JCT.",0,"4174",1160
14,4,2815,"PRINCETON JCT.",0,"4176",1161
14,4,2816,"PRINCETON JCT.",0,"4178",1162
14,4,2817,"PRINCETON JCT.",0,"4180",1163
14,4,2818,"PRINCETON JCT.",0,"4182",1164
14,4,2819,"PRINCETON",1,"4183",1165
14,4,2820,"PRINCETON",1,"4101",1166
14,4,2821,"PRINCETON",1,"4103",1167
14,6,2822,"PRINCETON",1,"4279",1168
14,6,2823,"PRINCETON",1,"4201",1169
14,2,2824,"PRINCETON",1,"4219",1170
14,2,2825,"PRINCETON",1,"4221",1171
14,2,2826,"PRINCETON",1,"4223",1172
14,2,2827,"PRINCETON",1,"4225",1173
14,2,2828,"PRINCETON",1,"4227",1174
14,2,2829,"PRINCETON",1,"4229",1175
14,2,2830,"PRINCETON",1,"4231",1176
14,2,2831,"PRINCETON",1,"4233",1177
14,2,2832,"PRINCETON",1,"4235",1178
14,2,2833,"PRINCETON",1,"4237",1179
14,2,2834,"PRINCETON",1,"4241",1180
14,2,2835,"PRINCETON",1,"4243",1181
14,2,2836,"PRINCETON",1,"4245",1182
14,2,2837,"PRINCETON",1,"4247",1183
14,2,2838,"PRINCETON",1,"4253",1184
14,2,2839,"PRINCETON",1,"4255",1185
14,2,2840,"PRINCETON",1,"4257",1186
14,2,2841,"PRINCETON",1,"4259",1187
14,2,2842,"PRINCETON",1,"4261",1188
14,2,2843,"PRINCETON",1,"4263",1189
14,2,2844,"PRINCETON",1,"4265",1190
14,2,2845,"PRINCETON",1,"4267",1191
14,2,2846,"PRINCETON",1,"4269",1192
14,2,2847,"PRINCETON",1,"4271",1193
14,2,2848,"PRINCETON",1,"4273",1194
14,2,2849,"PRINCETON",1,"4275",1195
14,2,2850,"PRINCETON",1,"4277",1196
14,4,2851,"PRINCETON",1,"4105",1197
14,4,2852,"PRINCETON",1,"4107",1198
14,4,2853,"PRINCETON",1,"4109",1199
14,4,2854,"PRINCETON",1,"4111",1200
14,4,2855,"PRINCETON",1,"4113",1201
14,4,2856,"PRINCETON",1,"4115",1202
14,4,2857,"PRINCETON",1,"4117",1203
14,4,2858,"PRINCETON",1,"4119",1204
14,4,2859,"PRINCETON",1,"4121",1205
14,4,2860,"PRINCETON",1,"4123",1206
14,4,2861,"PRINCETON",1,"4125",1207
14,4,2862,"PRINCETON",1,"4127",1208
14,4,2863,"PRINCETON",1,"4131",1209
14,4,2864,"PRINCETON",1,"4133",1210
14,4,2865,"PRINCETON",1,"4135",1211
14,4,2866,"PRINCETON",1,"4137",1212
14,4,2867,"PRINCETON",1,"4139",1213
14,4,2868,"PRINCETON",1,"4141",1214
14,4,2869,"PRINCETON",1,"4143",1215
14,4,2870,"PRINCETON",1,"4145",1216
14,4,2871,"PRINCETON",1,"4147",1217
14,4,2872,"PRINCETON",1,"4149",1218
14,4,2873,"PRINCETON",1,"4151",1219
14,4,2874,"PRINCETON",1,"4153",1220
14,4,2875,"PRINCETON",1,"4155",1221
14,4,2876,"PRINCETON",1,"4157",1222
14,4,2877,"PRINCETON",1,"4159",1223
14,4,2878,"PRINCETON",1,"4161",1224
14,4,2879,"PRINCETON",1,"4163",1225
14,4,2880,"PRINCETON",1,"4165",1226
14,4,2881,"PRINCETON",1,"4167",1227
14,4,2882,"PRINCETON",1,"4169",1228
14,4,2883,"PRINCETON",1,"4171",1229
14,4,2884,"PRINCETON",1,"4173",1230
14,4,2885,"PRINCETON",1,"4175",1231
14,4,2886,"PRINCETON",1,"4177",1232
14,4,2887,"PRINCETON",1,"4179",1233
14,4,2888,"PRINCETON",1,"4181",1234
14,17,2889,"PRINCETON",1,"PRINBUS",1235
15,5,2890,"NEWARK PENN STATION",0,"8512",1236
15,2,2891,"NEWARK PENN STATION",0,"5506",1237
15,2,2892,"NEWARK PENN STATION",0,"5508",1238
15,2,2893,"NEWARK PENN STATION",0,"5512",1239
15,2,2894,"NEWARK PENN STATION",0,"5516",1240
15,2,2895,"NEWARK PENN STATION",0,"5518",1241
15,2,2896,"NEWARK PENN STATION",0,"5520",1242
15,2,2897,"NEWARK PENN STATION",0,"5522",1243
15,2,2898,"NEWARK PENN STATION",0,"5524",1244
15,2,2899,"NEWARK PENN STATION",0,"5526",1245
15,2,2900,"NEWARK PENN STATION",0,"5528",1246
15,2,2901,"NEWARK PENN STATION",0,"5530",1247
15,2,2902,"NEWARK PENN STATION",0,"5532",1248
15,2,2903,"NEWARK PENN STATION",0,"5534",1249
15,2,2904,"NEWARK PENN STATION",0,"5536",1250
15,2,2905,"NEWARK PENN STATION",0,"5538",1251
15,2,2906,"NEWARK PENN STATION",0,"5540",1252
15,2,2907,"NEWARK PENN STATION",0,"5510",1253
15,2,2908,"NEWARK PENN STATION",0,"5514",1254
15,4,2909,"NEWARK PENN STATION",0,"5458",1255
15,4,2910,"NEWARK PENN STATION",0,"5412",1256
